,CASE_ID,Age,Sex,Sex_Name,Seat,Seat_pos,Fatality,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,SchoolBus_involvement,Vehicle_withTrailers
0,10700,20,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10259,20,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10744,20,2,Female,11,"Front Seat, Left Side",18:00-18:59,9,9,4,1,0,0,0
0,10598,21,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,0,2,0,1,0,0
0,10635,21,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10155,21,1,Male,11,"Front Seat, Left Side",20:00-20:59,9,9,4,2,1,0,0
0,10091,21,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10217,21,2,Female,11,"Front Seat, Left Side",1:00-1:59,1,1,4,1,1,0,0
0,10274,22,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,1,0,1,0,0
0,10219,22,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,2,0,0,0,0
0,10517,22,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,0,3,0,1,0,0
0,10121,22,1,Male,11,"Front Seat, Left Side",15:00-15:59,0,0,4,2,0,0,0
0,10174,22,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10169,22,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10119,22,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10066,22,2,Female,11,"Front Seat, Left Side",1:00-1:59,1,1,4,2,0,0,0
0,10781,23,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,2,0,1,0,0
0,10186,23,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10198,23,1,Male,11,"Front Seat, Left Side",1:00-1:59,9,9,4,1,0,0,0
0,10216,23,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,1,0,0
0,10374,23,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10319,23,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10271,23,2,Female,11,"Front Seat, Left Side",9:00-9:59,0,0,4,1,0,0,0
0,10265,24,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,1,0,0,0,0
0,10048,24,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10626,24,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,3,0,0,0,0
0,10246,24,1,Male,11,"Front Seat, Left Side",15:00-15:59,9,9,4,2,1,0,0
0,10522,24,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10401,24,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10402,24,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10706,24,2,Female,11,"Front Seat, Left Side",3:00-3:59,9,9,4,1,0,0,0
0,10277,25,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,1,0,1,0,0
0,10440,25,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10780,25,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,1,0,0
0,10214,25,1,Male,11,"Front Seat, Left Side",20:00-20:59,0,0,4,1,0,0,0
0,10150,25,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10044,25,2,Female,11,"Front Seat, Left Side",11:00-11:59,9,9,4,1,1,0,0
0,10141,26,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,1
0,10695,26,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10053,26,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10412,26,1,Male,11,"Front Seat, Left Side",3:00-3:59,1,0,4,1,1,0,0
0,10403,26,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,1,0,1
0,10303,26,2,Female,11,"Front Seat, Left Side",5:00-5:59,1,0,4,2,0,0,0
0,10202,27,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10615,27,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,1,3,0,0,0,0
0,10204,27,1,Male,11,"Front Seat, Left Side",18:00-18:59,8,8,4,2,1,0,0
0,10161,27,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10347,27,2,Female,11,"Front Seat, Left Side",10:00-10:59,9,9,4,1,0,0,0
0,10576,28,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,1,0,0
0,10751,28,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10662,28,1,Male,11,"Front Seat, Left Side",9:00-9:59,0,0,4,1,0,0,0
0,10095,28,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10326,28,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10146,28,2,Female,11,"Front Seat, Left Side",9:00-9:59,0,0,4,1,0,0,0
0,10329,29,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10191,29,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,3,0,1,0,0
0,10716,29,1,Male,11,"Front Seat, Left Side",9:00-9:59,1,9,4,1,0,0,0
0,10660,29,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10105,29,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10139,29,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10701,29,2,Female,11,"Front Seat, Left Side",7:00-7:59,9,9,4,1,0,0,0
0,10595,30,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10172,30,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,1,0
0,10326,30,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10308,30,1,Male,11,"Front Seat, Left Side",4:00-4:59,9,9,4,1,2,0,0
0,10484,30,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10238,30,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10219,30,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10254,30,2,Female,11,"Front Seat, Left Side",17:00-17:59,9,9,4,1,1,0,0
0,10103,31,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,2,0,0,0,0
0,10411,31,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,1,3,0,0,0,0
0,10003,31,1,Male,11,"Front Seat, Left Side",1:00-1:59,1,9,4,2,1,0,0
0,10010,31,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10016,31,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,1,3,0,1,0,0
0,10401,31,2,Female,11,"Front Seat, Left Side",0:00-0:59,9,9,4,1,0,0,0
0,10158,32,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10669,32,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,2,0,1,0,0
0,10702,32,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,3,0,1,0,0
0,10143,32,1,Male,11,"Front Seat, Left Side",0:00-0:59,9,9,4,2,0,0,0
0,10278,32,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10251,32,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,1,0,0
0,10115,32,2,Female,11,"Front Seat, Left Side",13:00-13:59,0,0,4,1,1,0,0
0,10397,33,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10118,33,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10439,33,1,Male,11,"Front Seat, Left Side",1:00-1:59,1,0,4,2,0,0,0
0,10131,33,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10304,33,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10060,33,2,Female,11,"Front Seat, Left Side",18:00-18:59,9,9,4,1,0,0,0
0,10089,34,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10603,34,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10711,34,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10504,34,1,Male,11,"Front Seat, Left Side",22:00-22:59,1,0,4,1,1,0,0
0,10779,34,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,1,3,0,0,0,6
0,10492,34,2,Female,11,"Front Seat, Left Side",17:00-17:59,9,9,4,1,1,0,0
0,10653,35,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10270,35,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10416,35,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10009,35,1,Male,11,"Front Seat, Left Side",8:00-8:59,9,9,4,1,1,0,0
0,10096,35,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10472,35,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10425,35,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10409,35,2,Female,11,"Front Seat, Left Side",11:00-11:59,9,9,4,2,1,0,0
0,10438,36,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,1
0,10081,36,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,2,0,0,0,0
0,10229,36,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10154,36,1,Male,11,"Front Seat, Left Side",14:00-14:59,0,0,4,1,0,0,0
0,10639,36,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10144,36,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10505,36,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10097,36,2,Female,11,"Front Seat, Left Side",7:00-7:59,9,9,4,1,0,0,0
0,10398,37,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,0,1,0,0,0,0
0,10362,37,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,2,0,0,0,0
0,10731,37,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10173,37,1,Male,11,"Front Seat, Left Side",1:00-1:59,1,9,4,2,1,0,0
0,10132,37,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10023,37,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10036,37,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10030,37,2,Female,11,"Front Seat, Left Side",13:00-13:59,0,0,4,2,0,0,0
0,10258,38,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10034,38,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,3,0,0,0,0
0,10373,38,1,Male,11,"Front Seat, Left Side",8:00-8:59,0,0,4,1,0,0,0
0,10232,38,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10289,38,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10317,38,2,Female,11,"Front Seat, Left Side",14:00-14:59,0,9,4,2,0,0,0
0,10105,39,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,2,0,0,0,0
0,10381,39,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10742,39,1,Male,11,"Front Seat, Left Side",18:00-18:59,0,0,4,2,0,0,0
0,10381,39,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10067,39,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10355,39,2,Female,11,"Front Seat, Left Side",12:00-12:59,9,9,4,2,1,0,0
0,10034,40,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10591,40,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,2,0,0,0,0
0,10272,40,1,Male,11,"Front Seat, Left Side",18:00-18:59,0,0,4,1,0,0,1
0,10484,40,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10742,40,2,Female,11,"Front Seat, Left Side",10:00-10:59,9,9,4,1,1,0,0
0,10574,41,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,1,0,0,0,0
0,10168,41,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,2,0,0,0,0
0,10567,41,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,1,0,0
0,10221,41,1,Male,11,"Front Seat, Left Side",14:00-14:59,9,9,4,1,1,0,0
0,10685,41,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,1,0,0,0,0
0,10602,41,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10269,41,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10673,42,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,1
0,10250,42,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10355,42,1,Male,11,"Front Seat, Left Side",19:00-19:59,1,0,4,2,1,0,0
0,10626,42,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10322,42,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10146,42,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,3,0,0,0,0
0,10011,42,2,Female,11,"Front Seat, Left Side",20:00-20:59,0,0,4,1,1,0,0
0,10190,43,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,1,0,0
0,10441,43,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10047,43,1,Male,11,"Front Seat, Left Side",5:00-5:59,0,0,4,2,1,0,0
0,10217,43,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10570,43,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10591,43,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10531,43,2,Female,11,"Front Seat, Left Side",22:00-22:59,9,9,4,1,0,0,0
0,10478,44,1,Male,11,"Front Seat, Left Side",12:00-12:59,0,0,4,1,0,0,0
0,10474,44,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,2,0,0,0,0
0,10153,44,2,Female,11,"Front Seat, Left Side",17:00-17:59,9,9,4,2,0,0,0
0,10141,45,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,1
0,10147,45,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,3,0,1,0,1
0,10259,45,1,Male,11,"Front Seat, Left Side",20:00-20:59,9,9,4,1,0,0,0
0,10180,45,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10033,45,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10352,45,2,Female,11,"Front Seat, Left Side",16:00-16:59,8,8,4,2,0,0,0
0,10095,46,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,1
0,10025,46,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10018,46,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,1,3,0,0,0,0
0,10110,46,1,Male,11,"Front Seat, Left Side",16:00-16:59,9,9,4,2,0,0,0
0,10572,46,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,1,0,0
0,10005,46,2,Female,11,"Front Seat, Left Side",16:00-16:59,9,9,4,1,1,0,0
0,10363,47,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10607,47,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10239,47,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10253,47,1,Male,11,"Front Seat, Left Side",6:00-6:59,9,9,4,1,0,0,0
0,10537,47,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10636,47,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10053,47,2,Female,11,"Front Seat, Left Side",19:00-19:59,0,0,4,1,1,0,0
0,10505,48,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,1
0,10523,48,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10039,48,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,3,0,1,0,0
0,10523,48,1,Male,11,"Front Seat, Left Side",6:00-6:59,0,0,4,1,0,0,0
0,10405,48,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10469,48,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10310,48,2,Female,11,"Front Seat, Left Side",5:00-5:59,0,0,4,1,1,0,0
0,10664,49,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10134,49,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,9,2,0,0,0,0
0,10200,49,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10002,49,1,Male,11,"Front Seat, Left Side",22:00-22:59,0,0,4,1,1,0,0
0,10463,49,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10200,49,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10635,49,2,Female,11,"Front Seat, Left Side",21:00-21:59,1,9,4,1,0,0,0
0,10560,50,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10020,50,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10376,50,1,Male,11,"Front Seat, Left Side",4:00-4:59,0,0,4,1,0,0,0
0,10207,50,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10349,50,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10034,50,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10225,50,2,Female,11,"Front Seat, Left Side",22:00-22:59,1,0,4,2,1,0,0
0,10352,51,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10140,51,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,1
0,10258,51,1,Male,11,"Front Seat, Left Side",15:00-15:59,9,9,4,1,0,0,0
0,10595,51,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10343,51,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10170,51,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10068,51,2,Female,11,"Front Seat, Left Side",15:00-15:59,0,0,4,1,0,0,0
0,10522,52,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10411,52,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10384,52,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10573,52,1,Male,11,"Front Seat, Left Side",0:00-0:59,9,9,4,2,1,0,0
0,10143,52,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10651,52,2,Female,11,"Front Seat, Left Side",13:00-13:59,0,0,4,1,0,0,0
0,10350,53,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,1,0,0,0,0
0,10441,53,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10705,53,1,Male,11,"Front Seat, Left Side",17:00-17:59,0,0,4,1,1,0,0
0,10104,53,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10571,53,2,Female,11,"Front Seat, Left Side",13:00-13:59,9,9,4,1,1,0,0
0,10649,54,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,1,0,0
0,10370,54,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10367,54,1,Male,11,"Front Seat, Left Side",13:00-13:59,9,8,4,1,1,0,0
0,10205,54,2,Female,11,"Front Seat, Left Side",13:00-13:59,9,9,4,1,0,0,0
0,10363,55,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,1
0,10286,55,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10013,55,1,Male,11,"Front Seat, Left Side",10:00-10:59,0,0,4,1,1,0,0
0,10103,55,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10271,55,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10159,55,2,Female,11,"Front Seat, Left Side",19:00-19:59,8,8,4,1,0,0,0
0,10132,56,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10048,56,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10331,56,1,Male,11,"Front Seat, Left Side",Unknown,0,0,4,1,0,0,0
0,10588,56,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,1,0,0,0,0
0,10628,56,2,Female,11,"Front Seat, Left Side",14:00-14:59,0,0,4,1,0,0,0
0,10325,57,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10636,57,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),1,9,3,0,0,0,0
0,10503,57,1,Male,11,"Front Seat, Left Side",21:00-21:59,9,9,4,2,0,0,0
0,10356,57,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10144,57,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10129,57,2,Female,11,"Front Seat, Left Side",23:00-23:59,9,9,4,1,0,0,0
0,10051,58,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,3,0,0,0,0
0,10122,58,1,Male,11,"Front Seat, Left Side",11:00-11:59,8,8,4,2,0,0,0
0,10570,58,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),9,9,2,0,0,0,0
0,10172,58,2,Female,11,"Front Seat, Left Side",0:00-0:59,0,0,4,2,0,1,0
0,10575,59,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,2,0,0,0,0
0,10661,59,1,Male,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10097,59,1,Male,11,"Front Seat, Left Side",7:00-7:59,9,9,4,1,0,0,0
0,10177,59,2,Female,11,"Front Seat, Left Side",Not Applicable (Non-fatal),0,0,3,0,0,0,0
0,10454,59,2,Female,11,"Front Seat, Left Side",12:00-12:59,0,0,4,1,0,0,0
